Country Name,Country Code,Series Name,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,317.584470493786,285.502193911933,344.224180834998,347.415239227515,338.739396092888,363.541467336977,367.485849348994,410.861610383694,418.523170604681,490.272834014231,544.689294061525,527.197336508957,570.676061364151,582.103975873526,576.487817324819,566.881129708434,564.920840615235,563.488236495596,553.973306037506,559.140953983718,529.144909726945,407.616505242601,372.615894847401,..
Afghanistan,AFG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1821.87313102694,1960.88245974115,2143.52683947815,2247.49808010881,2380.64462078713,2522.44937446209,2675.50863709675,2851.36775919961,3044.89661682055,3298.47890843532,3432.1708719722,3577.11432498868,3678.04770145146,3736.34007957648,3780.69919254096,3855.76074409659,3952.80357364813,4090.37272829183,4249.8200493985,4431.55559506989,4543.38771048312,4418.66087378292,4857.11194201819,5155.29085964151,5394.18241000709
Albania,ALB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,1.1,..,..,0.6,..,..,0.2,..,..,..,0.6,..,1,0.1,0.1,0.4,0,0,0,..,..,..
Albania,ALB,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,11.4,..,..,7.3,..,..,3.9,..,..,..,4.8,..,9.7,3.5,4.7,3.6,2.7,1.2,1.5,..,..,..
Albania,ALB,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,52.1,..,..,40.4,..,..,33.4,..,..,..,36.7,..,38.7,25.4,25.5,25.5,18.2,14.9,13.7,..,..,..
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3486.16574275228,3568.25031352992,3625.07457895912,3769.6367430891,3960.6614821006,4081.05366180396,4243.15389550051,4303.73357789544,4365.50134409673,4398.81828825629,4372.37117773506,4497.861364832,4545.67799799778,4565.20032665602,4592.67656993188,4687.2885753528,4741.49977033558,4829.18582949082,4806.63125479311,4782.03470679763,4737.12977369971,4422.97947188314,4515.57399918347,4602.57560847786,4717.39932878428
Algeria,DZA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,4.3,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,36.3,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,12804.4358444426,12980.7222956862,13105.1690778892,13136.4800805944,12690.5291104991,13029.6162843735,12795.0245577508,12378.1701945665,12532.3111237111,12656.6881389142,12247.6352882148,12098.2751505435,12494.9802110307,13101.5418159165,13116.4309769201,12442.8576653719,13049.3301536176,13288.3565565116,14214.6464600557,14464.8140504798,14969.0599426218,..
American Samoa,ASM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,32966.236846457,33901.1769735096,35722.5288901566,35749.9289119891,37250.295189537,38696.4946069776,39307.1408551822,40994.4476088348,42724.5671994464,41470.4379328172,40442.7851067907,40937.2740669219,41486.1994746048,39174.8972867328,37597.7053313215,38402.6492611904,38885.5303222983,39886.6400844155,39321.6143090537,39320.0924463621,39413.790877787,34394.4140397243,36616.1007608814,39720.951858885,40161.7695253033
Andorra,AND,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1913.99891888388,1909.5020620136,1925.50803001238,2116.85167905643,2106.98586428642,2257.15235995983,2505.65502911723,2696.44109550935,2964.33544957422,3176.67216178097,3087.81142958911,3105.44965509745,3094.73391488944,3235.17460430041,3270.96634497214,3304.68114752866,3217.33924005417,3023.91631900009,2914.12713925236,2777.84304168235,2666.25391548367,2435.02485427339,2387.42990701717,2385.11995566245,2333.71877506136
